이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
"그 어장, 내가 가져보겠다",kakaopage,다온스튜디오,다온스튜디오,로판,연재중,수,260.8만,9.9,40,3,1일,"로맨스판타지,육아물,빙의물,먼치킨,로맨틱코미디,치유물,힐링물,능력녀,다정녀,직진남,계략남,다정남,초월적존재,천재,역하렘","재벌가 사생아였던 첫 번째 삶, 마교주의 사생아였던 두 번째 삶을 지나 이번 생은 소설 속 멸문 당하는 가문의 사생아로빙의했다멸문당하는 가문따위 버리고 떠나려고 하는데,원작에서는 사생아에게 신경도 쓰지 않던 아빠가 이상하다""블리스, 너를 위해선 뭐든지 해줄 수 있단다""그리고 미래에 가문을 멸문시킬 악녀인 언니가 눈에 들어오기 시작한다""안녕, 아가야, 나는 네 언니야""그래 이번 생은 가족들과 함께 살아보자라고 결심하자마자 원작 여주의 어장에 있어야 하는 남주들이 나에게 집착하기 시작한다내 세 번째 인생, 이대로 괜찮을까?",https://page.kakao.com/content/62890486
아씨의 법정,kakaopage,이오삼,반숙,로맨스,일시적 휴재,수,593.3만,9.9,90,3,3시간,,"세손빈으로 설레는 나날을 보내던 때,아버지가 역모의 누명을 쓰고 집안이 몰락했다간신히 탈출해 목숨을 부지한 나는먼 남자 친척의 이름을 빌려 외지부(변호사)로 살게 되었다그런데… 남장도 그럴듯하게 잘 어울리고,외지부로서의 능력과 수완도 누구보다 출중하잖아?백전백승의 승률을 자랑하는 외지부가 바로 나, 강은산이란 말씀어느 날 밤, 길에서 우연히 얽히게 된 이 초시란 작자가‘외지부란 돈만 밝히는 더러운 집단’이라며 비난하는 게 아닌가게다가 외지부가 백성에게 꼭 필요한 직업이란 사실을송사 세 번 안에 증명하라는 내기를 제안해 왔다…조선 법정 로맨스 <아씨의 법정>",https://page.kakao.com/content/59452548
악녀가 될 수밖에 없는 이유,kakaopage,,이광휘,로판,연재중,수,122만,9.8,31,4,1일,"로맨스판타지,빙의물,능글남,악녀,상처녀","희대의 미친년으로 불리는 악역으로 환생한 나 하지만 나는 환호했다 왜냐하면 악녀 르네 블레어는 돈이 많았으니까비록 작품 초반에 죽지만 아무렴 어때,나쁜 짓은 그만두고, 앞으로 모두에게 잘하는 거야 혹시 알아?갑자기 돌변하면 흔한 악녀 빙의물처럼 남주 후보들이 나를 좋아하게 될지띠링[오늘의 미션 : 시중드는 시녀의 뺨을 때리자]그런데 이 정신 나간 미션 창은 뭐야?*“이제부터 나 시녀 할래”안절부절 못하는 시녀를 뒤로 한 채,‘난 시녀야’를 염불 외듯 중얼거리면서 손바닥을 들었다그리고 내리쳤다내 뺨을",https://page.kakao.com/content/63406852
마인화산,kakaopage,,신호등M80,무협,시즌 휴재,수,495.3만,9.7,83,3,1일,"퓨전,무림,복수,마교,화산,먼치킨","무림공적, 천살마군 염세악검신 한호에게 잡혀 화산에 갇힌 지 백년와신상담… 절치부심… 복수무한…세월은 이 모든 것을 잊게 하고 세상마저 그를 잊게 만들었다하지만“허면 어르신 함자가 어찌 되시는지……”우연한 만남, 자신도 모르게 튀어나온 원수의 이름“그게… 한, 한호일세”허무함의 끝에서 예기치 않게 꼬인 행로화산파 안[in]의 절세마인, 염세악의 선택",https://page.kakao.com/content/59849934
악당 가문의 상속녀입니다,kakaopage,코타비,강재건,로판,연재중,수,430.9만,9.9,30,3,3시간,"육아물,성장물,가족물,인외존재,애교남,능력남,계략남,순진남,능력녀,엉뚱발랄녀,계략녀,재벌녀,힐링물","소설 속 엑스트라로 환생한 지 10년차날 거둬 키워주신 집 주인 할아버지가 돌아가신 날,악명 높은 공작 가문 '블라스코'에서 찾아왔다""선대 공작 각하께서 카티샤 양께 모든 유산을 상속하셨습니다""""선대 공작 각하···?""그니까 할아버지가 '블라스코' 공작 각하였다구요?어마어마한 유산을 물려받아 기쁜 것도 잠시,'그' 블라스코 공작가가 핏줄도 아닌 날 가만둘 리 없다""아니, 전 사양""""상속세를 제외한 현금과 중앙은행의 개인 금고,그 외 블라스코 명의로 된 모든 것들을 그대로 가지시면 됩니다""""가겠습니다""이왕 이렇게 된 거, 내 돈 끝까지 지켜보자고나는야 돈에 목숨을 거는 속물 1호,<악당 가문의 상속녀입니다>",https://page.kakao.com/content/63136561
수보교낭,kakaopage,편방방,열문만화,로맨스,연재중,수,"9,642",10.0,81,4,,"동양풍,빙의물,메디컬물,츤데레남,능력녀,걸크러쉬,삼각관계,달달물,로맨틱코미디,개그물,힐링물,권선징악"," ‘이렇게 기구한 타임슬립도 있나…?’비행기 사고로 목숨을 잃은 주인공은 가상의 고대 왕조 소나라에서 ‘고교’라는 소녀에게 빙의 되어 깨어난다몸의 원래 주인은 청천촌에서 이름난 ‘고 씨네 멍청이’였다어딜 가나 놀림받는 건 일상, 얼렁뚱땅 혼인한 절름발이 서방님까지 달고 있는데, 찢어지게 가난하기까지고교에게 남은 것은 전생에 쌓은 의학 지식과 낡은 약상자뿐이다현대의 약품과 의료 기구는 물론, 써도 써도 채워지는 이 신비한 약 상자 덕에 고교는 발 빠르게 활약하며, 청천촌의 ‘신의’가 되어가는데…어렵사리 얻은 새로운 삶, 고교는 과연 잘 헤쳐나갈 수 있을까?",https://page.kakao.com/content/63286976
신급으로 레벨업!,kakaopage,Saoleidashi/China,Literature+GRA STUDIO,판타지,시즌 휴재,수,95.2만,9.5,122,3,3일,"게임,차원이동,좀비,환생,생존,학원,빙의,시스템,노력,성장,신","'2666년, 외계 생물이 남긴 X-바이러스가 지구를 덮쳐 좀비와 몬스터가 만연하기 시작했고, 생존자들은 헌터가 되어 그들과 맞서 싸워야 했다…' 라는 게임 속으로 현실 세계에서 백수인 내가 빙의했다?나는 분명 거절했는데, 어째서 게임 속 주인공이자 샤인 아카데미의 학생 임태오로 강제 빙의한 거지? 게다가 시작부터 두들겨 맞는 신세라니… 시작은 비록 거지 같았지만 새로운 인생이 주어졌으니 제대로 한번 살아 봐야지 지켜 봐, 최강 헌터로 거듭나 줄 테니",https://page.kakao.com/content/59685331
피폐물 주인공의 부인이 되었습니다,kakaopage,,네프,로판,완결,완결,747.9만,9.8,73,4,3시간,"로맨스판타지,재회물,회귀물,피폐물,운명,까칠남,나쁜남자,왕족/귀족,재벌남,능력남,집착남,냉정남,순진녀","앙자크 왕국의 버려진 공주로 외롭게 살아가던 나는 어느 날 벼락같이 찾아온 꿈을 통해 이곳이 피폐물 소설 속이라는 것을 알게 됐다여주인공은 내 이복여동생, 남주인공은 잔혹하기로 소문 난 황자그리고 나는 극 시작도 전에 죽는 엑스트라 하르벤키아 제국의 평화 협정을 위한 희생 양으로 팔려간 나는그렇게 속수무책으로 죽음을 앞두고 있었다“하르벤키아에 미혼인 황족은 나 하나라서 설마 마음에 안 드나?”그런데 갑자기 남주인공이 내게 결혼을 하잔다당신의 첫사랑, 첫 키스, 첫 잠자리는 모두 여주인공의 것인데과연 내가 당신을 욕심내도 되는 걸까?살아남고자 소설의 내용을 바꾸려 하는 알렉시아그녀를 붙잡아 두고 싶은 테르뷔온정체를 알 수 없는 여주인공, 오필리어원작의 이야기는 이제 완전히 다르게 흘러가기 시작했다서로에게 서로가 유일한 알렉시아와 테르뷔온의 꿈과 현실을 넘나드는 로맨스판타지",https://page.kakao.com/content/56940906
무림세가 전생랭커,kakaopage,,인용,무협,연재중,수,"1,631.8만",9.8,126,4,3시간,"퓨전,먼치킨,무림,복수,시스템,환생,회귀,마교,명문세가,지존","sss급 헌터 강태하치열한 싸움 끝에 결국 죽음을 맞이했다그런데""이 돼지가 나라고?""눈을 떠보니 무림이었고, 백운표국의 망나니 유신운이 되어있었다혼란스러운 죽음의 위기 속에""니들이 아직 내가 누군지 모르는구나?""무림루저가 최강 사령술사로 다시 태어났다과연 유신운은 반대세력을 물리치고 백운표국의 국주자리를 차지할 수 있을 것인가",https://page.kakao.com/content/58108830
불건전한 연애,kakaopage,김강구,멍냥,로맨스,시즌 휴재,화,202.4만,9.8,46,4,3시간,"현대로맨스,사내연애,오피스물,몸정>맘정,트라우마,능력남,냉정남,직진남,다정녀,계약관계","""“불건전한 관계 뒤에 마주하게 되는 건 지독히도 시린 현실이었다“살면서 손에 넣지 못한 게 없는 완벽한 남자, 문정후어느 날 갑자기 그의 품에 들어온 여자, 채하린그는 닿을 듯 닿지 않는 여자를 바라만 보았다아버지의 도박 빚에 팔려갈 위기에 놓인 하린을 구해낸 정후는그녀의 목숨값을 빌미로 밤마다 은밀한 업무를 시킨다몸을 건드리는 일도, 말을 거는 일도 없었다하린은 빚을 갚기엔 너무나도 편한 업무만 주어진 것이 감사한 한편으론 불편하기만 하다마음은 어떤 형태로든 숨기는 게 가능할지 모르나 몸은 솔직하다서로를 마음에 품고 있지만, 선뜻 다가서지 못하는 남녀불건전한 관계로 시작된 사이는 어쩐지 서로가 바라던 것과는 반대로 흘러가는데지극히 방어적인 여자와 사랑에 있어서 너무나 관대한 남자의 본격 삽질기운명으로 엮인 인연은 과연 사랑으로 이어질 수 있을까?""",https://page.kakao.com/content/62740562
안젤리카 : 우리 아내가 달라졌어요,kakaopage,탄지,DY,로판,연재중,목,61.7만,9.6,51,4,1일,"로맨스판타지,회귀물,정략결혼,상처녀,냉정남,후회남,직진녀,능력남","""안젤리카, 난 당신 아니면 결혼 못해""긴 짝사랑 끝에 결혼했지만 늘 무심하고 냉정했던 남편, 도미닉숙부의 반역, 천정부지로 쌓인 빚, 멸문당한 친정,견디다 못해 스스로 목숨을 끊고 난 후 회귀한 안젤리카 앞에 집착과 열기를 가득 머금고 전남편이 나타났다""저는 더 이상 소공작님을 사랑하지 않아요""""사랑해, 안젤리카 절대 실망시킬 일 없을거야""……아무래도 내 약혼자가 미쳤나 보다",https://page.kakao.com/content/62606078
펜들턴 혁명,kakaopage,파도,석부,드라마,시즌 휴재,수,96.1만,10.0,47,3,1일,"미스터리,추리물,범죄,연쇄살인,가상시대물,학생,검사,고퀄리티,여주중심,스릴 넘치는,이야기중심,학원물,권선징악,성장물,오해","비밀 후원 관계에서 연인으로 발전해 동화 같은 세기의 로맨스를 장식한 ‘키다리 아저씨’ 이야기 하지만 늘 해피 엔딩만 있었을까?어느 날부터, 수도를 중심으로 연쇄살인사건이 일어나게 된다‘에드 유리네스’는 이 미스터리한 사건의 내막을 파해치기 위해 학생 수사단을 꾸리게 되는데, 알고보니 그녀는 이미 이 사건에 깊게 얽혀 있었다",https://page.kakao.com/content/62848698
삼각산 선녀탕,kakaopage,후렛샤,라희,로맨스,연재중,수,43.4만,9.8,50,51,,"현대로맨스,성장물,우연한만남,다정남,직진남,능력남,외유내강,사이다녀,털털녀,다정녀,삼각관계,달달물,로맨틱코미디","인간 나무꾼과 선녀 사이에 태어난 만년 무수리 후보생, 윤슬사기꾼 엄마로 인해 쫓기는 신세인 흙수저 인간, 남우 삼각산을 호령하는 산신령 천상천하 유아독존 금수저, 후착한 청년 남우는 채권자를 피해 북한산에 올랐다 우연히 고라니를 구해주게 되고,하필 그날이 산신령 부임하는 날이라 선녀들이 목욕을 하러 하늘에서 내려오는데 그곳을 알려준다고? 시대가 어느땐데 선녀복을 훔치라고?거부하던 남우는 그만 오해로 선녀복을 훔친 인간이 되어버리고 이 절도는 고스란히 선녀복을 지키지 못했던 무수리 윤슬이 뒤집어 쓰게 되면서 선녀가 되는 길이 막혀 버린다한편 새로 부임한 산신령 후는 선녀복을 되찾아 파티에 드레스코드로 입고 들어온 윤슬에게 그만 반해 버리는데, 정직한 남우도 오해를 풀고자 윤슬에게 접근하게 되면서 사랑을 느낀다그치만 윤슬은 다시는 엄마처럼 인간을 사랑하고 싶지 않았기에 갈등을 겪고 혼란과 번뇌의 러브라인 속에서 고뇌하며 인간인 남우의 사랑을 받아들일지,산신령의 내리사랑을 받을지 행복한 선택의 기로 속에서 선녀 공개선발 오디션 <선녀프로듀스 4356>에 도전한다선녀와 나뭇꾼의 모티브를 현대적으로 각색해 자신의 노력으로 선녀가 되고픈 윤슬을 짝사랑하며 자신의 방식대로 돕는 산신령과 인간, 전혀 다른 신분을 지닌 이들의 티키타카 삼각관계 로맨스",https://page.kakao.com/content/61781238
당신의 이해를 돕기 위하여,kakaopage,라뇽,오션,로판,완결,완결,"9,630.8만",10.0,162,3,3시간,"로맨스판타지,영혼체인지,까칠남,카리스마남,후회남,절륜남,상처녀,정략결혼,신파,드라마,애잔물,상처남,능력남,자상녀,다정녀","왕녀인 바이올렛은 왕실의 막대한 빚을 갚아준윈터 블루밍과 결혼한다결혼식에서 처음 본 윈터에게 반한 바이올렛운이 좋다고 생각한 것도 잠시, 오빠인 에쉬가 왕실 해체를 선언하자사기꾼이라는 오명을 뒤집어쓴다 작위도 얻지 못하고 전 재산만 날린 윈터는결혼 첫날밤에도 집으로 돌아오지 않는다 지옥 같은 결혼생활을 한 지도 3년“저 바쁜 남자가 내 장례식엔 와줄까?”돈을 버는 데만 열중하고, 자신에겐 냉담하기만 한 윈터로 인해바이올렛은 점차 시들어 간다모든 것을 끝내리라 마음먹은 그때, 윈터와 몸이 뒤바뀌는데…“내가 정말 미쳐버렸나 봐, 이건 망상일까?”",https://page.kakao.com/content/56657309
감방에서 남자주인공을 만났습니다,kakaopage,문시현,혜성,로판,시즌 휴재,수,551.3만,9.9,42,3,1일,"로맨스판타지,빙의물,재회물,역하렘,대형견남,집착남,무심녀,달달물","감방에서 남자주인공을 만났다쟤가 19금 피폐 소설 남자주인공이란 건 알겠는데…… 왜 저래?“왕 왕 왕 으르르르”정신만 짐승이 되는 저주에 걸렸다더니…… 그렇다고 저주에서 깨어난 모습은 어떠냐“채, 채, 책임질 거, 아니면, 소, 손대지 말,아요”그냥 남주랑 설렐 일은 없겠다 싶어 안심했다“1년 뒤 이, 이곳에서 벗어나는 날, 나…랑 만나주세요”만나는 거야 어렵지 않겠다 싶어 알겠노라고 했지그렇게 내가 먼저 출소를 했는데……***“어서 와 꽃처럼 사랑스러운 내 여동생”출소하는 날 내게 다가오는 남자로 알았다내가 악당의 여동생이었다는 걸“나 대신 다녀오느라 고생 많았지? 너만을 기다렸어”…X발 그것도 남주와 철천지원수인 악당의 소중한 여동생이라고?***3년 뒤, 다시 만난 날 남주는 전혀 다른 얼굴로 웃었다“안녕, 이아나 지금부터 너를 납치할 거야”#감빵에서로맨스 #집착 #여주한정짐승남주 #진짜물어요 #사실은내가흑막여동생이었다 #남주와원수지간가문",https://page.kakao.com/content/62917908
낭선기환담,kakaopage,김순태,김순태,무협,시즌 휴재,수,"1,451.3만",9.9,151,3,1일,"선계,무림,영웅/신화,정령,검,권,도사,협객","호랑이로 환생하여, 영물이 되어 살아가던 산의 주인 산군평화롭게 살아가던 산군의 앞에 한 소녀가 찾아오게 된다 대뜸 지아비로 모시겠다고 하는 소녀 귀찮은 산군은 그녀를 내쫓으려고 하지만, 그녀는 돌아갈 곳이 없다결국 소녀를 거두기로 결심한 산군 그런 그에게 수많은 위협이 닥쳐오게 되는데…",https://page.kakao.com/content/56952321
킬러지만 공주로 살아볼까 해,kakaopage,"김예린, 장유라","김예린, 장유라",로판,시즌 휴재,수,671만,9.9,102,4,3시간,"로맨스판타지,미스터리,차원이동물,빙의물,여주판타지,초월적존재,왕족/귀족,카리스마남,능력녀,걸크러쉬,냉정녀,계약관계,삼각관계,드라마,권선징악","전문 킬러였던 리에나는 낯선 세계에서 공주로 빙의해 깨어난다 빙의를 눈치챈 약혼자는 한가지 계약을 통해 원래 세계로 돌아가게 해주겠다고 하지만, 계약내용이 한없이 이상하다게다가 소꿉친구인 소년백작 아르젠은 상냥한 눈빛으로 그녀를 이곳에 남고 싶게 만든다 하지만 흔들린 것도 잠시, 자신을 소환한 자들의 암살 공격이 이어진다 적인지 아군인지 모호한 두 남자의 미묘한 도움을 받으며 싸워나가던 리에나는 결국 소환의 비밀을 알아내는데",https://page.kakao.com/content/57140650
공녀님의 위험한 오빠들,kakaopage,,기렴(스토리웹툰),로판,완결,완결,855.4만,9.9,103,3,1일,"궁정로맨스,성장물,중세물,여주판타지,능력남,왕족/귀족,다정남,능력녀,순진녀,다정녀,외유내강,달달물,힐링물,나쁜남자,치유물","빈민가에서 술주정뱅이 삼촌 밑에서 자라며꽃을 팔아 겨우 먹고 살아왔던 레스티아빚 때문에 폭력배들에게 협박당하던 삼촌이,레스티아를 팔아버리려 하던 어느 날 밤“야, 손 치워”어디선가 나타난 아름다운 소년들그들은 폭력배들을 단번에 물리치고레스티아에게 믿을 수 없는 말을 건넨다“이제야 만나게 됐네, 내 동생우리는 네 오빠야”놀랍게도 그녀는 마법사를 대대로 배출한베르체스터 공작가의 딸이라는데…하지만 아무 증거도 없이 그 말을 믿긴 어렵다“자, 레스티아 집에 가자”하지만 일말의 희망이라도 붙잡고 싶었던 걸까그녀는 조금은 충동적으로, 소년들의 손을 잡는데…*****************************로맨스 판타지 인기작 렌슈 작가님의 <공녀님의 위험한 오빠들> 웹툰화귀염뽀짝한 레스티아와 오빠미 낭낭한 베르체스터 오빠들의 케미를 웹툰으로 만나보세요******************************",https://page.kakao.com/content/56760419
얼어붙은 심장이 녹고 나면,kakaopage,도담,EON COMICS,로판,시즌 휴재,수,146.8만,9.8,47,4,1일,"로맨스판타지,가족후회물,차원이동물,성장물,영혼체인지,빙의물,상처남,왕족/귀족,능력녀,악녀,잔잔물,애잔물","세상을 위협하는 마력을 잠재우기 위해 제물로 희생당한 헤스티아전생의 기억을 간직한 채 백작가의 사생아, 세실리아로 환생했다자기 의지대로 살지 못했던 예전 삶은 이미 오래 전 끝난 일이었다전생에 그녀가 무엇이었든, 지금은 적녀인 언니의 시녀로 사는 것이것이 백작가의 사생아로 환생한 세실리아의 삶이었다그런데언니가 결혼하려는 남자, 킬리엔 야닉센 대공이 뜬금없이 세실리아와 혼인하겠노라 선언한다심지어 그 사람의 목소리에서 아주 오래전 들었던 목소리가 자꾸 겹쳐진다""당신 때문에 화가 나서 도무지 견딜 수가 없어요""""거부할 테면 해 보세요 나는 반드시 당신과 혼인할 거니까""전생과 똑같은 수법으로 다가오는 남자그의 끈질긴 요구와 집착이 자꾸만 과거의 삶을 떠오르게 하는데과연 세실리아는 과거의 아픔을 치유하고 자신의 진정한 삶과 사랑을 찾을 수 있을까?",https://page.kakao.com/content/62445250
마이 디어 아스터,kakaopage,"어스레, 멋진세계",몽소,로판,연재중,수,477만,10.0,66,3,3시간,"로맨스판타지,회귀물,가족물,첫사랑,운명,다정남,순정남,왕족/귀족,능력남,자상녀,평범녀,다정녀,달달물,잔잔물,힐링물","몇 년 전에 딸이 말했다“엄마가 혹시 다시 살게 되면, 나 낳지 말아요”“갑자기 무슨 소리니, 그게?”“아빠 말고 더 좋은 사람 만나요있었다면서요, 첫사랑 다시 기회가 온다면 고백해 봐요”모녀는 같이 킥킥 웃었다그리고 리헨 코플런드는 잠에서 깨어났다 열아홉 살의 모습으로다시 살게 되었다고 인생이 크게 달라지지는 않았다하지만 딸을 조금 더 행복하게 해 줄 수 있을 것이다그러려면 남편과 다시 결혼해야 했다그러나 그 다짐은 곧 흔들리기 시작했다오랜 기억 속의 첫사랑,슈데르멜 라프트 경을 만나고부터<마이 디어 아스터>",https://page.kakao.com/content/60910874
귀신과 연애하기 시뮬레이션,kakaopage,이브,플민,로맨스,연재중,수,18.9만,9.8,30,3,1일,"현대로맨스,캠퍼스물,트라우마,인외존재,바람둥이,상처남,엉뚱발랄녀,집착녀,짝사랑녀,배틀연애,로맨틱코미디,드라마,개그물","세상에서 귀신이 제일 무서운 쫄보남, ‘현은섭’,3년 전 사귀었던 여자친구 ‘김채나’가 귀신이 되어 제 눈앞에 나타났다다짜고짜 모든 것을 자신을 탓하며, 함께 가자고 때를 쓰는 ‘채나’ 때문에 ‘은섭’은 기절초풍,뒷목 잡고 쓰러질 기세다… 기억도 안나는 여자친구가 뭐가 어쩌고 저째? 귀신?아니, 그것보다 일단 네가 내 전 여자친구가 맞긴 한 거야?3년이 지나도록, 귀신이 남자의 양기를 받지 못하면 악귀가 된다고?도망가고 싶다가도 저런 신세가 안타까워 뭐라도 도와줄까 싶지만,이 막무가내 귀신 ‘채나’를 달래주기 여간 힘든 게 아니다과연, 쫄보 중 가장 쫄보 ‘현은섭’은자신의 전 여자친구라던 귀신 ‘김채나’를 무사히 성불시킬 수 있을까?",https://page.kakao.com/content/63602041
만렙 플레이어의 100번째 회귀,kakaopage,여운,덕프(Terapin),판타지,시즌 휴재,수,866.7만,9.9,42,4,1일,"회귀,생존,먼치킨,복수,시스템,천재,신,게임,레이드,고인물,이능력,살수,플레이어","전세계적으로 15세부터 29세는 무조건 참가해야 하는 총 20라운드의 데스게임 이 게임에 회귀특성으로 100번째 도전을 시작하게 된 주인공이 99번의 경험으로 얻은 정보를 이용해 남들보다 압도적으로 강해지는 사이다물 마지막 라운드의 조건이 최소 5명인 걸 깨닫고, 실패를 반복하지 않기 위해 필요한 인원들을 자신이 키우는 먼치킨 성장 스토리",https://page.kakao.com/content/62916616
아델린의 깊은 밤,kakaopage,,"햅스터, 치즈난",로판,완결,완결,203.3만,9.9,81,4,3일,"로맨스판타지,회귀물,직진남,능력녀","사랑하는 남자에게 살해당한 아델린, 그러나 그 남자와의 결혼식 날로 다시 회귀했다또다시 죽음을 반복하지 않기 위한 아델린의 깊은 밤이 시작된다",https://page.kakao.com/content/60476901
신이되다 - 크툴루신화,kakaopage,,Kaite,판타지,휴재,휴재,32.9만,9.7,230,11,3일,"생존,크툴루,영웅/신화","주인공 원효는 죽은 후 도쿄에서 고등학생으로 환생하게 되고 남다른 영감 탓에 그의 주변에 귀신들로 가득하게 된다 생존을 위해서, 귀신에게 먹히지 않기 위해서, 자신의 정신이 붕괴되지 않기 위해서, 스스로를 신으로 위장하게 되는데… 크툴루 신화의 요소가 접목된 신비로운 판타지 세계의 이야기가 펼쳐진다",https://page.kakao.com/content/59324072
금안의 바리,kakaopage,하마오리,하마오리,판타지,일시적 휴재,수,8.1만,9.9,27,28,,"퓨전,영웅/신화,환생,신,이능력","천 년 전, ‘수명장자’를 앞세운 인간과 신들의 전쟁이 발발한다이 전쟁에서 유일하게 인간의 편에서 싸운 신이 있었으니,그녀의 이름은 ‘오구’신들에게 패배한 수명장자는만 개의 벌레로 쪼개져 세상에 흩어지고,오구신은 윤회의 굴레에 빠지는 벌을 받게 된다천년의 시간이 흘러 오구신은어린 소녀 '바리'의 몸으로 환생하고,수명장자 역시 부활의 조짐을 보인다참혹한 전쟁이 두 번 일어나선 안 된다수명장자의 계획을 막고 천지신을 찾기 위한바리와 오구의 여행이 시작되는데과연 바리는 이 여행에서 인간을 구하고자신의 존재를 증명할 수 있을까?",https://page.kakao.com/content/62822775
감금물의 하녀로 살아가기,kakaopage,소이미디어,D.라노(소이미디어),로판,시즌 휴재,수,474.8만,9.9,50,3,1일,,"대한민국의 평범한 회사원이던 나, '유정인'교통사고를 당하고 눈을 떠보니왕자를 탑에 가두고 유린한 하녀 '로제'가 되어 있었다왕자가 성 밖으로 나가는 순간 분명 난 죽은 목숨이야…“왕자님과 거래를 하고 싶습니다”동의 없는 스킨쉽 금지, 탑에서 나간 뒤 하녀 죽이지 않기서로 만족스러운 계약을 했다고 생각했는데…“우리 키스할까, 로제”왕자님의 상태가 이상해졌다 이 탑에서 무사히 살아서 나갈 수 있을까?",https://page.kakao.com/content/62294238
"레이디, 함께 가실까요?",kakaopage,,스푼코믹스,로판,완결,완결,70.5만,9.5,65,3,1일,"로맨스판타지,성장물,기사물,짝사랑,첫사랑,다정남,짝사랑남,존댓말남,직진남,무심녀,걸크러쉬,철벽녀,상처녀,갑을관계,친구>연인","평생 충성을 바쳐 온 왕국으로부터 버림받은 기사, 아이린볼모가 되어 제국에 간 그녀의 앞에 황태자 카엘이 나타난다“당신의 남자가 되고 싶어요 결혼을 전제로 당신과 만나고 싶어”다짜고짜 첫눈에 반했다며 들이대는 그의 모습에 당황스러운 것도 잠시,아이린의 마음은 점차 흔들리기 시작하는데……“키스하고 싶어 해도 돼?”“명령인가요?”“아니”“그럼 부탁?”“아니”“그럼……”“내 마음, 당신 마음 그냥 그거”과연 카엘의 키스는 아이린의 마음을 사로잡을 수 있을까?",https://page.kakao.com/content/61561325
검마도,kakaopage,,마린,무협,완결,완결,285.8만,9.7,70,3,1일,복수,"정검련과 집마천사이에 발생한 정마대전이 한창시던 시절 평화로운 마을, 백리주의 소년 심호는 백리주를 뺴앗기 위한 제갈휘의 음모에 빠지게 되어열 두살의 나이에 정마대전의 최전선인 천일평에 끌려가게 된다처절한 전투속에서 흑우(黑牛)를 만나게 되어그들의 동료가 되고, 무공을 배우며 성장해 나아가게 되며자신의 고향 백리주로 돌아가기 위한 험난한 여정이 시작되는데",https://page.kakao.com/content/61555048
인소의 법칙,kakaopage,아현,아현,로맨스,시즌 휴재,수,1.2억,10.0,214,5,1일,"현대로맨스,성장물,학원물,빙의물,짝사랑,다정남,순정남,평범녀,삼각관계,친구>연인","인터넷 소설 읽기가 취미였던 평범한 학생 함단이어느 날 자고 일어나니 옆집에는 아주 예쁜 여학생 반여령이,학교에는 그 이름도 무시무시한 사대천왕이 나타났다하루아침에 소설처럼 뒤바뀐 세계,그리고 함단이의 역할은 다름 아닌 여주인공 소꿉친구 중 하나[인터넷 소설의 법칙]여주 친구는 각종 위험에 휩싸인다단이의 평화로운 일상을 되찾을 유일한 방법“그래 반여령과 사대천왕하고 엮이지 않는 거야”그러나 다짐과는 다르게 그녀의 일상은강렬한 개성의 사대천왕과 여주인공으로 인해 갈수록 꼬여 가는데……?과연 그 결말은?인기 절정의 웹소설 <인소의 법칙>,<오주예수여> 아현 작가의 웹툰으로 재탄생==============================[표지 및 타이틀 로고 디자인] 디자인그룹 헌드레드",https://page.kakao.com/content/52610652
악녀님에겐 새 남편 따위 필요하지 않아요!,kakaopage,남도겸,가비,로판,시즌 휴재,수,192.5만,9.9,52,53,,"로맨스판타지,빙의물,우연한만남,다정남,왕족/귀족,능력남,존댓말남,걸크러쉬,악녀,사이다녀,다정녀,계약관계,로맨틱코미디","뭐 이런 개 같은 경우가 다 있지?""제 신랑이 될 사람은 이미 죽고 없잖아요""어이없이 죽은 것도 억울한데, 악녀에게 빙의 했다그것도 하필이면 ‘영혼 결혼식'을 올리던 도중에가진 거라곤 개복치인 몸과 낡아빠진 저택 뿐,아니, 죽은 신랑이 부자도 아닌데 심지어 빚도 있다고?원작이고 나발이고 내 살길부터 찾아야지그러던 중 죽은 남편의 친우라며 찾아온 피츠렌 공작따뜻한 목욕물, 아이스 아메리카노까지 척척 만들어현대인의 심금을 울리는 이 남자라면,이 험한 세상 헤쳐 나갈 좋은 방패가 되어줄 수 있을 것 같은데…""제 가짜 정부가 되어주세요""",https://page.kakao.com/content/61328034
나홀로 초능력자,kakaopage,GUMINGYUEYE,GUMINGYUEYE,액션,연재중,수,41.1만,9.1,144,3,,"시스템,성장,노력,퓨전",진흙탕 같은 현실을 살아가던 백무에게 갑자기 모든 사물의 확률이 보이는 능력이 생겼다? 하루아침에 백만장자 등극? 미녀들의 대시? 이 특별한 능력으로 인생 역전해보는 거야,https://page.kakao.com/content/58707620
아스테리스크 : 은하수를 걷는 용,kakaopage,연학,연학,드라마,완결,완결,88만,9.8,109,10,3일,"판타지물,성장물,초월적존재,친구,동물,귀여운,사랑스러운,이야기중심,힐링물,마법사,정령술사","마법의 세계를 동경하는 소년, 가젤은 용과 이어져 인연을 맺는 꿈을 가지고 있었다그러나, 특별한 체질을 가진 사람만이 용을 볼 수 있다 꿈에 가까워질 수 없던 현실을 체감하는 나날은 보내던 어느 날,가젤은 하늘에서 추락한 용을 만나게 되는데…",https://page.kakao.com/content/58617924
