number,country,points,price,province,region_1,region_2,title,variety,winery
392,France,96,75.0,Bordeaux,Saint-Émilion,,Château Beau-Séjour Bécot 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Beau-Séjour Bécot
393,US,96,78.0,California,Russian River Valley,Sonoma,Williams Selyem 2009 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
394,France,96,400.0,Bordeaux,Pomerol,,Château Trotanoy 2009  Pomerol,Bordeaux-style Red Blend,Château Trotanoy
395,France,96,196.0,Champagne,Champagne,,Lanson 2006 Clos Lanson Chardonnay (Champagne),Chardonnay,Lanson
396,France,96,65.0,Alsace,Alsace,,René Muré 2015 Zinnkoepfle Grand Cru Riesling (Alsace),Riesling,René Muré
397,US,96,250.0,California,Napa Valley,Napa,Joseph Phelps 2014 Insignia Estate Grown Red (Napa Valley),Bordeaux-style Red Blend,Joseph Phelps
398,France,96,100.0,Alsace,Alsace,,Domaine Zind-Humbrecht 2015 Brand Grand Cru Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
399,US,96,53.0,Washington,Red Mountain,Columbia Valley,Andrew Will 2007 Ciel du Cheval Vineyard Red Wine Red (Red Mountain),Red Blend,Andrew Will
400,France,96,120.0,Alsace,Alsace,,Domaine Zind-Humbrecht 2014 Clos Saint Urbain Rangen de Thann Grand Cru Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
401,US,96,20.0,Washington,Columbia Valley (WA),Columbia Valley,Rulo 2007 Syrah (Columbia Valley (WA)),Syrah,Rulo
402,US,96,38.0,California,Sta. Rita Hills,Central Coast,Ojai 2007 Clos Pepe Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Ojai
403,France,96,1300.0,Bordeaux,Pauillac,,Château Mouton Rothschild 2009  Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild
404,US,96,125.0,California,Oakville,Napa,Groth 2008 Reserve Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Groth
405,France,96,160.0,Bordeaux,Saint-Émilion,,Château Bélair-Monange 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Bélair-Monange
406,Italy,96,199.0,Tuscany,Brunello di Montalcino,,Biondi Santi 2012  Brunello di Montalcino,Sangiovese,Biondi Santi
407,France,96,330.0,Burgundy,Charmes-Chambertin,,Roche de Bellene 2014  Charmes-Chambertin,Pinot Noir,Roche de Bellene
408,France,96,195.0,Bordeaux,Pauillac,,Château Lynch-Bages 2009  Pauillac,Bordeaux-style Red Blend,Château Lynch-Bages
409,US,96,85.0,California,Russian River Valley,Sonoma,Williams Selyem 2014 Lewis MacGregor Estate Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
410,US,96,85.0,Oregon,Chehalem Mountains,Willamette Valley,Alloro 2014 Estate Justina Pinot Noir (Chehalem Mountains),Pinot Noir,Alloro
411,US,96,40.0,California,San Luis Obispo County,Central Coast,Stolo 2014 Estate Syrah (San Luis Obispo County),Syrah,Stolo
412,US,96,90.0,California,Paso Robles,Central Coast,Epoch Estate Wines 2013 Block B Paderewski Vineyard Syrah (Paso Robles),Syrah,Epoch Estate Wines
413,France,96,110.0,Bordeaux,Pauillac,,Château Pontet-Canet 2014  Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet
414,France,96,175.0,Bordeaux,Saint-Émilion,,Le Dôme 2014  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme
415,France,96,50.0,Bordeaux,Pessac-Léognan,,Château Malartic-Lagravière 2014  Pessac-Léognan,Bordeaux-style White Blend,Château Malartic-Lagravière
416,France,96,200.0,Bordeaux,Saint-Julien,,Château Léoville Poyferré 2009  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré
417,France,96,200.0,Bordeaux,Saint-Émilion,,Château Valandraud 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Valandraud
418,Spain,96,290.0,Catalonia,Priorat,,Terroir Al Límit 2014 Les Tosses Carignan (Priorat),Carignan,Terroir Al Límit
419,US,96,55.0,Washington,Columbia Valley (WA),Columbia Valley,Corliss Estates 2007 Syrah (Columbia Valley (WA)),Syrah,Corliss Estates
420,Italy,96,175.0,Veneto,Amarone della Valpolicella Classico,,Masi 2003 Mazzano  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Masi
421,France,96,62.0,Burgundy,Chablis,,Domaine Jean-Paul et Benoît Droin 2013 Vaudésir Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
422,Italy,96,79.0,Piedmont,Barolo,,Attilio Ghisolfi 2011 Bussia Bricco Visette  (Barolo),Nebbiolo,Attilio Ghisolfi
423,France,96,115.0,Burgundy,Chablis,,William Fèvre 2013 Les Clos Grand Cru  (Chablis),Chardonnay,William Fèvre
424,Italy,96,149.0,Piedmont,Barolo,,Rivetto 2010 Briccolina  (Barolo),Nebbiolo,Rivetto
425,France,96,62.0,Burgundy,Chablis,,Domaine Jean-Paul et Benoît Droin 2013 Valmur Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
426,US,96,80.0,Washington,Horse Heaven Hills,Columbia Valley,Den Hoed 2007 Andreas Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Den Hoed
427,France,96,304.0,Burgundy,Clos de la Roche,,Domaine Dujac 2009 Clos de la Roche  (Clos de la Roche),Pinot Noir,Domaine Dujac
428,Portugal,96,220.0,Madeira,,,Blandy's 1973 Verdelho (Madeira),Verdelho,Blandy's
429,Italy,96,131.0,Piedmont,Barolo,,Luigi Oddero & Figli 2008 Vigna Rionda  (Barolo),Nebbiolo,Luigi Oddero & Figli
430,France,96,370.0,Burgundy,Bâtard-Montrachet,,Louis Jadot 2013  Bâtard-Montrachet,Chardonnay,Louis Jadot
431,France,96,510.0,Burgundy,Musigny,,Domaine Jacques Prieur 2009 Musigny  (Musigny),Pinot Noir,Domaine Jacques Prieur
432,Italy,96,80.0,Piedmont,Barolo,,Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),Nebbiolo,Cordero di Montezemolo
433,US,96,85.0,Washington,Red Mountain,Columbia Valley,Mark Ryan 2011 Lonely Heart Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Mark Ryan
434,US,96,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Figgins 2010 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins
435,US,96,55.0,California,Sonoma Coast,Sonoma,Williams Selyem 2011 Terra de Promissio Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
436,US,96,45.0,California,Russian River Valley,Sonoma,De Loach 2009 Pennacchio Vineyard Pinot Noir (Russian River Valley),Pinot Noir,De Loach
437,US,96,135.0,California,Napa Valley,Napa,Venge 2009 Family Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Venge
438,Portugal,96,200.0,Port,,,Niepoort NV 30 Years Old Tawny  (Port),Port,Niepoort
439,US,96,95.0,California,Napa Valley,Napa,David Arthur 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,David Arthur
440,US,96,145.0,California,Rutherford,Napa,Rubicon Estate 2005 Rubicon Red (Rutherford),Bordeaux-style Red Blend,Rubicon Estate
441,US,96,110.0,California,Napa Valley,Napa,Kendall-Jackson 2004 Stature Red (Napa Valley),Bordeaux-style Red Blend,Kendall-Jackson
442,Italy,96,165.0,Piedmont,Barolo,,Sandrone 2011 Cannubi Boschis  (Barolo),Nebbiolo,Sandrone
443,France,96,142.0,Burgundy,Chablis,,Domaine Christian Moreau Père et Fils 2013 Les Clos Grand Cru Cuvée Clos des Hospices  (Chablis),Chardonnay,Domaine Christian Moreau Père et Fils
444,US,96,135.0,Washington,Walla Walla Valley (WA),Columbia Valley,Leonetti Cellar 2008 Reserve Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Leonetti Cellar
445,France,96,175.0,Rhône Valley,Côte Rôtie,,E. Guigal 1998 La Mouline  (Côte Rôtie),Rhône-style Red Blend,E. Guigal
446,US,96,44.0,California,Sta. Rita Hills,Central Coast,Samsara 2008 Las Hermanas Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Samsara
447,US,96,44.0,Washington,Washington,Washington Other,Woodward Canyon 2009 Chardonnay (Washington),Chardonnay,Woodward Canyon
448,Italy,96,90.0,Northeastern Italy,Colli Orientali del Friuli,,Livio Felluga 2006 Picolit Picolit (Colli Orientali del Friuli),Picolit,Livio Felluga
449,France,96,260.0,Burgundy,Puligny-Montrachet,,Domaine Leflaive 2007 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
450,France,96,,Burgundy,Chablis,,Domaine Laroche 2012 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Laroche
451,France,96,73.0,Burgundy,Chablis,,Domaine Pinson 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Pinson
452,US,96,150.0,California,Napa Valley,Napa,Colgin 1999 Herb Lamb Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Colgin
453,US,96,100.0,California,Napa Valley,Napa,Stag's Leap Wine Cellars 1998 SLV Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
454,US,96,120.0,California,Napa Valley,Napa,Dalla Valle 1999 Maya Red (Napa Valley),Red Blend,Dalla Valle
455,Germany,96,95.0,Mosel,,,Dr. Pauly Bergweiler 2009 Bernkasteler Johannisbrünnchen Eiswein Riesling (Mosel),Riesling,Dr. Pauly Bergweiler
456,US,96,245.0,California,Napa Valley,Napa,Jarvis 2006 Estate Grown Cave Fermented Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Jarvis
457,France,96,175.0,Bordeaux,Saint-Julien,,Château Léoville Las Cases 2011  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases
458,Italy,96,80.0,Tuscany,Toscana,,Isole e Olena 2010 Cepparello Sangiovese (Toscana),Sangiovese,Isole e Olena
459,France,96,105.0,Bordeaux,Pauillac,,Château Pontet-Canet 2011  Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet
460,France,96,685.0,Bordeaux,Pauillac,,Château Lafite Rothschild 2011  Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild
461,Italy,96,27.0,Tuscany,Chianti Classico,,Isole e Olena 2010  Chianti Classico,Red Blend,Isole e Olena
462,Spain,96,130.0,Northern Spain,Ribera del Duero,,Emilio Moro 2009 Malleolus de Valderramiro  (Ribera del Duero),Tinto Fino,Emilio Moro
463,US,96,45.0,Washington,Snipes Mountain,Columbia Valley,Maison Bleue 2010 Gravière Upland Vineyard Mourvèdre-Syrah-Grenache Red (Snipes Mountain),Rhône-style Red Blend,Maison Bleue
464,US,96,450.0,California,Sonoma County,Sonoma,Verité 2007 La Joie Red (Sonoma County),Bordeaux-style Red Blend,Verité
465,US,96,50.0,California,Russian River Valley,Sonoma,Lynmar 2010 Susanna's Vineyard Chardonnay (Russian River Valley),Chardonnay,Lynmar
466,US,96,85.0,California,Napa Valley,Napa,Pride Mountain 2006 Vintner Select Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Pride Mountain
467,US,96,70.0,California,Mt. Harlan,Central Coast,Calera 2013 Reed Pinot Noir (Mt. Harlan),Pinot Noir,Calera
468,US,96,115.0,California,Fort Ross-Seaview,Sonoma,Wayfarer 2014 Mother Rock Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
469,Italy,96,73.0,Tuscany,Brunello di Montalcino,,Mocali 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Mocali
470,US,96,60.0,California,Sta. Rita Hills,Central Coast,Siduri 2015 Clos Pepe Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Siduri
471,France,96,450.0,Burgundy,Chevalier-Montrachet,,Louis Latour 2015 Les Demoiselles  (Chevalier-Montrachet),Chardonnay,Louis Latour
472,France,96,132.0,Bordeaux,Pessac-Léognan,,Domaine de Chevalier 2010  Pessac-Léognan,Bordeaux-style White Blend,Domaine de Chevalier
473,Spain,96,50.0,Northern Spain,Ribera del Duero,,Valderiz 2014 Juegabolos  (Ribera del Duero),Tinta del Pais,Valderiz
474,US,96,65.0,California,Santa Lucia Highlands,Central Coast,Siduri 2015 Pisoni VIneyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Siduri
475,France,96,,Bordeaux,Saint-Julien,,Château Ducru Beaucaillou 2010  Saint-Julien,Bordeaux-style Red Blend,Château Ducru Beaucaillou
476,Australia,96,150.0,South Australia,McLaren Vale,,Hickinbotham 2013 The Peake Cabernet-Shiraz (McLaren Vale),Cabernet-Shiraz,Hickinbotham
477,France,96,155.0,Champagne,Champagne,,Bollinger 2004 La Grande Année Brut  (Champagne),Champagne Blend,Bollinger
478,France,96,,Bordeaux,Saint-Estèphe,,Château Montrose 2010  Saint-Estèphe,Bordeaux-style Red Blend,Château Montrose
479,Italy,96,50.0,Tuscany,Brunello di Montalcino,,Baricci 2012  Brunello di Montalcino,Sangiovese,Baricci
480,US,96,64.0,California,Santa Maria Valley,Central Coast,Foxen 2015 Block 8 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen
481,Italy,96,85.0,Tuscany,Brunello di Montalcino,,Le Potazzine 2012  Brunello di Montalcino,Sangiovese,Le Potazzine
482,US,96,150.0,California,Adelaida District,Central Coast,Daou 2013 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,Daou
483,US,96,155.0,California,Oakville,Napa,Nickel & Nickel 2009 Martin Stelling Vineyard Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Nickel & Nickel
484,US,96,85.0,California,Sta. Rita Hills,Central Coast,Foxen 2010 Sea Smoke Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen
485,US,96,45.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy 2009 Lagniappe Syrah (Columbia Valley (WA)),Syrah,Gramercy
486,US,96,150.0,California,Oakville,Napa,Vine Cliff 2009 16 Rows Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Vine Cliff
487,France,96,475.0,Bordeaux,Pomerol,,Château Trotanoy 2010  Pomerol,Bordeaux-style Red Blend,Château Trotanoy
488,France,96,525.0,Burgundy,Chambertin Clos de Bèze,,Domaine Perrot-Minot 2010 Chambertin Clos de Bèze Grand Cru  (Chambertin Clos de Bèze),Pinot Noir,Domaine Perrot-Minot
489,US,96,175.0,California,Diamond Mountain District,Napa,Diamond Creek 2009 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Diamond Creek
490,US,96,62.0,California,Santa Maria Valley,Central Coast,Foxen 2015 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen
491,France,96,400.0,Burgundy,Bâtard-Montrachet,,Louis Latour 2015  Bâtard-Montrachet,Chardonnay,Louis Latour
492,US,96,90.0,California,Russian River Valley,Sonoma,Donum 2013 Single Vineyard Reserve Pinot Noir (Russian River Valley),Pinot Noir,Donum
493,France,96,,Burgundy,Chevalier-Montrachet,,Louis Latour 2006  Chevalier-Montrachet,Chardonnay,Louis Latour
494,US,96,115.0,California,Fort Ross-Seaview,Sonoma,Wayfarer 2014 Paige's Ridge Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
495,US,96,58.0,California,Russian River Valley,Sonoma,Williams Selyem 2014 Heintz Vineyard Chardonnay (Russian River Valley),Chardonnay,Williams Selyem
496,US,96,69.0,California,Russian River Valley,Sonoma,Williams Selyem 2014 Westside Road Neighbors Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
497,US,96,88.0,California,Mt. Harlan,Central Coast,Calera 2013 Jensen Pinot Noir (Mt. Harlan),Pinot Noir,Calera
498,Italy,96,146.0,Piedmont,Barolo,,Giuseppe Rinaldi 2012 Brunate  (Barolo),Nebbiolo,Giuseppe Rinaldi
499,France,96,216.0,Champagne,Champagne,,Salon 1985 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Salon
500,France,96,,Burgundy,Corton-Charlemagne,,Bouchard Père & Fils 2006  Corton-Charlemagne,Chardonnay,Bouchard Père & Fils
501,US,96,85.0,California,Oakville,Napa,Piña 2009 Ames Vineyard Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Piña
502,US,96,75.0,California,Sonoma Coast,Sonoma,Joseph Phelps 2010 Pastorale Vineyard Chardonnay (Sonoma Coast),Chardonnay,Joseph Phelps
503,Spain,96,204.0,Northern Spain,Ribera del Duero,,Emilio Moro 2006 Malleolus de Sanchomartin  (Ribera del Duero),Tinto del Pais,Emilio Moro
504,Australia,96,185.0,South Australia,South Australia,,Penfolds 1996 Grange Shiraz (South Australia),Shiraz,Penfolds
505,US,96,70.0,California,Knights Valley,Sonoma,Kendall-Jackson 2007 Highlands Estates Trace Ridge Cabernet Sauvignon (Knights Valley),Cabernet Sauvignon,Kendall-Jackson
506,France,96,,Bordeaux,Sauternes,,Château Guiraud 2007  Sauternes,Bordeaux-style White Blend,Château Guiraud
507,US,96,72.0,Washington,Columbia Valley (WA),Columbia Valley,Sineann 2012 Champoux Vineyards Block One Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Sineann
508,Italy,96,110.0,Piedmont,Barolo,,Mascarello Giuseppe e Figlio 2009 Santo Stefano di Perno  (Barolo),Nebbiolo,Mascarello Giuseppe e Figlio
509,US,96,125.0,California,Napa Valley,Napa,Montagna 2009 La Presa One South Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Montagna
510,US,96,80.0,California,Diamond Mountain District,Napa,Von Strasser 2009 Agira Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser
511,US,96,335.0,California,Napa Valley,Napa,Bryant Family 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bryant Family
512,US,96,95.0,California,Napa Valley,Napa,Duckhorn 2008 Monitor Ledge Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Duckhorn
513,France,96,,Burgundy,Montrachet,,Louis Jadot 2006  Montrachet,Chardonnay,Louis Jadot
514,Germany,96,53.0,Mosel-Saar-Ruwer,,,Karl Erbes 2006 Ürziger Würzgarten Auslese * * * Goldkap Riesling (Mosel-Saar-Ruwer),Riesling,Karl Erbes
515,US,96,185.0,California,Happy Canyon of Santa Barbara,Central Coast,Crown Point 2013 Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Crown Point
516,France,96,,Alsace,Alsace,,Trimbach 2007 Clos Ste Hune Riesling (Alsace),Riesling,Trimbach
517,US,96,70.0,California,Arroyo Grande Valley,Central Coast,Talley 2010 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
518,France,96,,Bordeaux,Barsac,,Château Doisy-Daëne 2014  Barsac,Bordeaux-style White Blend,Château Doisy-Daëne
519,France,96,70.0,Bordeaux,Sauternes,,Château Suduiraut 2014  Sauternes,Bordeaux-style White Blend,Château Suduiraut
520,US,96,155.0,California,Napa Valley,Napa,Portfolio 2013 Limited Edition Red (Napa Valley),Bordeaux-style Red Blend,Portfolio
521,US,96,36.0,California,Santa Maria Valley,Central Coast,Ryan Cochrane 2015 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Ryan Cochrane
522,US,96,85.0,California,Russian River Valley,Sonoma,Paul Hobbs 2011 Katherine Lindsay Estate Pinot Noir (Russian River Valley),Pinot Noir,Paul Hobbs
523,France,96,595.0,Champagne,Champagne,,Louis Roederer 2005 Cristal Brut Rosé  (Champagne),Champagne Blend,Louis Roederer
524,France,96,,Champagne,Champagne,,Billecart-Salmon 2002 Cuvée Nicolas François Billecart Brut  (Champagne),Champagne Blend,Billecart-Salmon
525,US,96,48.0,California,Sonoma Coast,Sonoma,W.H. Smith 2010 Hellenthal Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,W.H. Smith
526,France,96,79.0,Champagne,Champagne,,Louis Roederer 2007 Vintage Brut  (Champagne),Champagne Blend,Louis Roederer
527,US,96,80.0,California,Diamond Mountain District,Napa,Dyer 2010 Dyer Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Dyer
528,US,96,400.0,California,Stags Leap District,Napa,Clos du Val 2009 JG's Joie du Vin Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Clos du Val
529,US,96,80.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2010 En Chamberlin Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
530,France,96,,Bordeaux,Sauternes,,Château Sigalas Rabaud 2014  Sauternes,Bordeaux-style Red Blend,Château Sigalas Rabaud
531,Hungary,96,54.0,Tokaji,,,Royal Tokaji 2013 5 Puttonyos Aszú Red Label  (Tokaji),White Blend,Royal Tokaji
532,US,96,150.0,California,North Coast,North Coast,Schramsberg 2008 J. Schram Rosé (North Coast),Rosé,Schramsberg
533,US,96,44.0,California,Green Valley,Sonoma,Iron Horse 2012 Wedding Cuvée Estate Bottled Sparkling (Green Valley),Sparkling Blend,Iron Horse
534,France,96,170.0,Bordeaux,Pessac-Léognan,,Château Pape Clément 2011 Barrel Sample  (Pessac-Léognan),Bordeaux-style White Blend,Château Pape Clément
535,France,96,,Bordeaux,Pauillac,,Château Lafite Rothschild 2011 Barrel Sample  (Pauillac),Bordeaux-style Red Blend,Château Lafite Rothschild
536,US,96,100.0,California,North Coast,North Coast,Schramsberg 2004 J. Schram Sparkling (North Coast),Sparkling Blend,Schramsberg
537,US,96,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2008 Widowmaker Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Cayuse
538,US,96,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2008 En Chamberlin Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
539,US,96,65.0,California,Rutherford,Napa,Sequoia Grove 2007 Rutherford Bench Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Sequoia Grove
540,US,96,125.0,California,Spring Mountain District,Napa,Vineyard 7&8 2008 Estate Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Vineyard 7&8
541,US,96,175.0,California,Napa Valley,Napa,Moone-Tsai 2008 Cor Leonis Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Moone-Tsai
542,Australia,96,500.0,South Australia,South Australia,,Penfolds 2004 Grange Shiraz (South Australia),Shiraz,Penfolds
543,Portugal,96,95.0,Port,,,Warre's 2011 Vintage  (Port),Port,Warre's
544,Portugal,96,,Port,,,W. & J. Graham's 2011 Vintage  (Port),Port,W. & J. Graham's
545,Portugal,96,,Port,,,Quinta do Vesuvio 2011 Vintage  (Port),Port,Quinta do Vesuvio
546,US,96,78.0,California,Russian River Valley,Sonoma,Williams Selyem 2010 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
547,US,96,58.0,California,Templeton Gap District,Central Coast,ONX 2015 Reckoning Red (Templeton Gap District),Red Blend,ONX
548,Italy,96,190.0,Piedmont,Barolo,,Paolo Scavino 2011 Rocche dell'Annunziata Riserva  (Barolo),Nebbiolo,Paolo Scavino
549,France,96,70.0,Bordeaux,Sauternes,,Château Lafaurie-Peyraguey 2014  Sauternes,Bordeaux-style White Blend,Château Lafaurie-Peyraguey
550,US,96,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,K Vintners 2010 The Creator Old Stones Cabernet Sauvignon-Syrah (Walla Walla Valley (WA)),Cabernet Sauvignon-Syrah,K Vintners
551,US,96,70.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2012 Cailloux Vineyard Viognier (Walla Walla Valley (OR)),Viognier,Cayuse
552,US,96,90.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2011 Armada Vineyard God Only Knows Grenache (Walla Walla Valley (OR)),Grenache,Cayuse
553,US,96,125.0,Oregon,Dundee Hills,Willamette Valley,Domaine Serene 2011 Récolte Grand Cru Chardonnay (Dundee Hills),Chardonnay,Domaine Serene
554,US,96,115.0,California,Fort Ross-Seaview,Sonoma,Wayfarer 2012 Golden Mean Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
555,US,96,60.0,Oregon,Willamette Valley,Willamette Valley,Ponzi 2012 Aurora Vineyard Chardonnay (Willamette Valley),Chardonnay,Ponzi
556,Italy,96,80.0,Central Italy,Montefalco Sagrantino,,Milziade Antano 2010 Colleallodole  (Montefalco Sagrantino),Sagrantino,Milziade Antano
557,US,96,90.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2011 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
558,US,96,82.0,California,Russian River Valley,Sonoma,Williams Selyem 2011 Allen Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
559,Australia,96,225.0,South Australia,Barossa Valley,,Torbreck 2007 RunRig Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck
560,Australia,96,150.0,South Australia,Barossa Valley,,Penfolds 2009 RWT Shiraz (Barossa Valley),Shiraz,Penfolds
561,Austria,96,100.0,Burgenland,,,Kracher 2010 Nouvelle Vague Nummer 8 Trockenbeerenauslese Traminer (Burgenland),Traminer,Kracher
562,US,96,100.0,Washington,Walla Walla Valley (WA),Columbia Valley,K Vintners 2009 The Hustler Syrah (Walla Walla Valley (WA)),Syrah,K Vintners
563,Austria,96,89.0,Wachau,,,F X Pichler 2012 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),Riesling,F X Pichler
564,Argentina,96,48.0,Mendoza Province,Mendoza,,Alta Vista 2013 Single Vineyard Temis Malbec (Mendoza),Malbec,Alta Vista
565,France,96,,Bordeaux,Barsac,,Château Nairac 2014  Barsac,Bordeaux-style White Blend,Château Nairac
566,US,96,140.0,Washington,Walla Walla Valley (WA),Columbia Valley,K Vintners 2012 The Hustler Syrah (Walla Walla Valley (WA)),Syrah,K Vintners
567,Italy,96,72.0,Piedmont,Lessona,,Proprietà Sperino 2011  Lessona,Nebbiolo,Proprietà Sperino
568,US,96,140.0,Washington,Columbia Valley (WA),Columbia Valley,Charles Smith 2013 Royal City Northridge Vineyard Syrah (Columbia Valley (WA)),Syrah,Charles Smith
569,Italy,96,35.0,Piedmont,Lessona,,Colombera & Garella 2013 Pizzaguerra  (Lessona),Nebbiolo,Colombera & Garella
570,US,96,30.0,Oregon,Willamette Valley,Willamette Valley,Sineann 2015 TFL Pinot Noir (Willamette Valley),Pinot Noir,Sineann
571,Italy,96,200.0,Piedmont,Barbaresco,,Gaja 2013  Barbaresco,Nebbiolo,Gaja
572,US,96,62.0,California,Russian River Valley,Sonoma,Robert Biale 2014 Limerick Lane Vineyard Zinfandel (Russian River Valley),Zinfandel,Robert Biale
573,US,96,325.0,California,Napa Valley,Napa,Hall 2013 The Bishop Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hall
574,Italy,96,105.0,Lombardy,Valtellina Superiore,,Arpepe 2007 Sassella Vigna Regina Riserva  (Valtellina Superiore),Nebbiolo,Arpepe
575,Portugal,96,105.0,Port,,,Quinta do Noval 2014 Vintage  (Port),Port,Quinta do Noval
576,US,96,65.0,California,Sta. Rita Hills,Central Coast,Pali 2014 Cargasacchi Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Pali
577,US,96,160.0,California,Stags Leap District,Napa,Hall 2013 Stags Leap District Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Hall
578,France,96,28.0,Bordeaux,Sauternes,,Château Filhot 2014  Sauternes,Bordeaux-style White Blend,Château Filhot
