number,country,points,price,province,region_1,region_2,title,variety,winery,LightBold,SmoothTannin,DrySweet,SoftAcidic
346,Portugal,97,90.0,Douro,,,Quinta+do+Vale+Meão++Red+Douro,Portuguese Red,Quinta do Vale Meão,50,50,50,50
347,Australia,97,95.0,South Australia,Barossa Valley,,Standish++Andelmonde+Shiraz+Barossa+Valley,Shiraz,Standish,50,50,50,50
348,Austria,97,90.0,Burgenland,,,Kracher++Nouvelle+Vague+Nummer++Trockenbeerenauslese+Chardonnay+Burgenland,Chardonnay,Kracher,50,50,50,50
349,France,97,330.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion,50,50,50,50
350,US,97,175.0,California,North Coast,North Coast,Schramsberg++J.+Schram++Late+Disgorged++North+Coast,Champagne Blend,Schramsberg,50,50,50,50
351,Italy,97,96.0,Piedmont,Barolo,,Brovia++Rocche+di+Castiglione++Barolo,Nebbiolo,Brovia,50,50,50,50
352,Hungary,97,80.0,Tokaji,,,Royal+Tokaji+++Puttonyos+Aszú+Gold+Label++Tokaji,White Blend,Royal Tokaji,50,50,50,50
353,France,97,55.0,Bordeaux,Sauternes,,Clos+Haut-Peyraguey+++Sauternes,Bordeaux-style White Blend,Clos Haut-Peyraguey,50,50,50,50
354,Portugal,97,75.0,Alentejo,,,Mouchão++Red+Alentejo,Portuguese Red,Mouchão,50,50,50,50
355,France,97,,Bordeaux,Sauternes,,Château+de+Rayne+Vigneau+++Sauternes,Bordeaux-style White Blend,Château de Rayne Vigneau,50,50,50,50
356,France,97,45.0,Bordeaux,Barsac,,Château+Coutet+++Barsac,Bordeaux-style White Blend,Château Coutet,50,50,50,50
357,France,97,476.0,Burgundy,Chevalier-Montrachet,,Louis+Jadot++Les+Demoiselles++Chevalier-Montrachet,Chardonnay,Louis Jadot,50,50,50,50
358,US,96,63.0,Oregon,Ribbon Ridge,Willamette Valley,Ken+Wright++Bryce+Vineyard+Pinot+Noir+Ribbon+Ridge,Pinot Noir,Ken Wright,50,50,50,50
359,France,96,400.0,Bordeaux,Pauillac,,Château+Mouton+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,50,50,50,50
360,Italy,96,65.0,Tuscany,Brunello di Montalcino,,Le+Chiuse+++Brunello+di+Montalcino,Sangiovese,Le Chiuse,50,50,50,50
361,France,96,64.0,Alsace,Alsace,,Domaine+Weinbach++Clos+des+Capucins+Cuvée+Ste+Catherine+Schlossberg+Grand+Cru+Riesling+Alsace,Riesling,Domaine Weinbach,50,50,50,50
362,US,96,54.0,California,Russian River Valley,Sonoma,Arista++Pinot+Noir+Russian+River+Valley,Pinot Noir,Arista,50,50,50,50
363,France,96,75.0,Bordeaux,Pessac-Léognan,,Château+Smith+Haut+Lafitte+++Pessac-Léognan,Bordeaux-style Red Blend,Château Smith Haut Lafitte,50,50,50,50
364,France,96,2500.0,Bordeaux,Pomerol,,Château+Pétrus+++Pomerol,Bordeaux-style Red Blend,Château Pétrus,50,50,50,50
365,Spain,96,770.0,Catalonia,Priorat,,Marco+Abella++El+Perer+Carignan+Priorat,Carignan,Marco Abella,50,50,50,50
366,Austria,96,78.0,Wachau,,,Emmerich+Knoll++Ried+Schütt+Smaragd+Riesling+Wachau,Riesling,Emmerich Knoll,50,50,50,50
367,Austria,96,70.0,Kremstal,,,Malat++Das+Beste+vom+Riesling+Reserve+Riesling+Kremstal,Riesling,Malat,50,50,50,50
368,US,96,27.0,Oregon,Dundee Hills,Willamette Valley,The+Eyrie+Vineyards++Estate+Chardonnay+Dundee+Hills,Chardonnay,The Eyrie Vineyards,50,50,50,50
369,France,96,400.0,Bordeaux,Pauillac,,Château+Mouton+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,50,50,50,50
370,Italy,96,110.0,Piedmont,Barolo,,Elvio+Cogno++Bricco+Pernice++Barolo,Nebbiolo,Elvio Cogno,50,50,50,50
371,France,96,130.0,Bordeaux,Saint-Julien,,Château+Ducru+Beaucaillou+++Saint-Julien,Bordeaux-style Red Blend,Château Ducru Beaucaillou,50,50,50,50
372,US,96,63.0,Oregon,Willamette Valley,,Ken+Wright++Abbott+Claim+Vineyard+Pinot+Noir,Pinot Noir,Ken Wright,50,50,50,50
373,France,96,38.0,Alsace,Alsace,,Domaine+Barmès-Buecher++Steingrubler+Grand+Cru+Riesling+Alsace,Riesling,Domaine Barmès-Buecher,50,50,50,50
374,US,96,175.0,California,Diamond Mountain District,Napa,Diamond+Creek++Volcanic+Hill+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Diamond Creek,50,50,50,50
375,France,96,,Bordeaux,Pomerol,,Château+la+Fleur-Pétrus+++Pomerol,Bordeaux-style Red Blend,Château la Fleur-Pétrus,50,50,50,50
376,US,96,125.0,California,Sonoma Coast,Sonoma,Del+Dotto++Cinghiale+Vineyard+Family+Reserve+Chardonnay+Sonoma+Coast,Chardonnay,Del Dotto,50,50,50,50
377,Italy,96,75.0,Tuscany,Bolgheri Superiore,,Tenuta+Argentiera++Argentiera++Bolgheri+Superiore,Red Blend,Tenuta Argentiera,50,50,50,50
378,US,96,120.0,Washington,Walla Walla Valley (WA),Columbia Valley,Horsepower++The+Tribe+Vineyard+Syrah+Walla+Walla+Valley+WA,Syrah,Horsepower,50,50,50,50
379,France,96,1200.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion,50,50,50,50
380,Italy,96,105.0,Southern Italy,Campania,,Feudi+di+San+Gregorio++Patrimo+Merlot+Campania,Merlot,Feudi di San Gregorio,50,50,50,50
381,Austria,96,64.0,Wachau,,,Emmerich+Knoll++Ried+Kellerberg+Smaragd+Riesling+Wachau,Riesling,Emmerich Knoll,50,50,50,50
382,France,96,600.0,Champagne,Champagne,,Louis+Roederer++Cristal+Brut+Rosé++Champagne,Champagne Blend,Louis Roederer,50,50,50,50
383,Austria,96,28.0,Kamptal,,,Eichinger++Gaisberg+Reserve+Riesling+Kamptal,Riesling,Eichinger,50,50,50,50
384,France,96,475.0,Bordeaux,Saint-Émilion,,Château+Cheval+Blanc+++Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc,50,50,50,50
385,US,96,64.0,Washington,Red Mountain,Columbia Valley,Andrew+Will++Sorella+Red+Wine+Red+Red+Mountain,Red Blend,Andrew Will,50,50,50,50
386,France,96,80.0,Alsace,Alsace,,Domaine+Schoffit++Clos+Saint-Théobald+Grand+Cru+Rangen+Sélection+de+Grains+Nobles+Pinot+Gris+Alsace,Pinot Gris,Domaine Schoffit,50,50,50,50
387,Italy,96,79.0,Piedmont,Barbaresco,,Sottimano++Riserva++Barbaresco,Nebbiolo,Sottimano,50,50,50,50
388,France,96,280.0,Bordeaux,Saint-Émilion,,Château+Figeac+++Saint-Émilion,Bordeaux-style Red Blend,Château Figeac,50,50,50,50
389,Germany,96,200.0,Mosel,,,S.A.+Prüm++Wehlener+Sonnenuhr+Beerenauslese+Erste+Lage+Riesling+Mosel,Riesling,S.A. Prüm,50,50,50,50
390,Germany,96,150.0,Rheinhessen,,,Thörle++Saulheimer+Hölle+Trockenbeerenauslese+Riesling+Rheinhessen,Riesling,Thörle,50,50,50,50
391,US,96,100.0,Oregon,Willamette Valley,Willamette Valley,Ponzi++Madrona+Pinot+Noir+Willamette+Valley,Pinot Noir,Ponzi,50,50,50,50
392,France,96,75.0,Bordeaux,Saint-Émilion,,Château+Beau-Séjour+Bécot+++Saint-Émilion,Bordeaux-style Red Blend,Château Beau-Séjour Bécot,50,50,50,50
393,US,96,78.0,California,Russian River Valley,Sonoma,Williams+Selyem++Rochioli+Riverblock+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
394,France,96,400.0,Bordeaux,Pomerol,,Château+Trotanoy+++Pomerol,Bordeaux-style Red Blend,Château Trotanoy,50,50,50,50
395,France,96,196.0,Champagne,Champagne,,Lanson++Clos+Lanson+Chardonnay+Champagne,Chardonnay,Lanson,50,50,50,50
396,France,96,65.0,Alsace,Alsace,,René+Muré++Zinnkoepfle+Grand+Cru+Riesling+Alsace,Riesling,René Muré,50,50,50,50
397,US,96,250.0,California,Napa Valley,Napa,Joseph+Phelps++Insignia+Estate+Grown+Red+Napa+Valley,Bordeaux-style Red Blend,Joseph Phelps,50,50,50,50
398,France,96,100.0,Alsace,Alsace,,Domaine+Zind-Humbrecht++Brand+Grand+Cru+Riesling+Alsace,Riesling,Domaine Zind-Humbrecht,50,50,50,50
399,US,96,53.0,Washington,Red Mountain,Columbia Valley,Andrew+Will++Ciel+du+Cheval+Vineyard+Red+Wine+Red+Red+Mountain,Red Blend,Andrew Will,50,50,50,50
400,France,96,120.0,Alsace,Alsace,,Domaine+Zind-Humbrecht++Clos+Saint+Urbain+Rangen+de+Thann+Grand+Cru+Riesling+Alsace,Riesling,Domaine Zind-Humbrecht,50,50,50,50
401,US,96,20.0,Washington,Columbia Valley (WA),Columbia Valley,Rulo++Syrah+Columbia+Valley+WA,Syrah,Rulo,50,50,50,50
402,US,96,38.0,California,Sta. Rita Hills,Central Coast,Ojai++Clos+Pepe+Vineyard+Chardonnay+Sta.+Rita+Hills,Chardonnay,Ojai,50,50,50,50
403,France,96,1300.0,Bordeaux,Pauillac,,Château+Mouton+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,50,50,50,50
404,US,96,125.0,California,Oakville,Napa,Groth++Reserve+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Groth,50,50,50,50
405,France,96,160.0,Bordeaux,Saint-Émilion,,Château+Bélair-Monange+++Saint-Émilion,Bordeaux-style Red Blend,Château Bélair-Monange,50,50,50,50
406,Italy,96,199.0,Tuscany,Brunello di Montalcino,,Biondi+Santi+++Brunello+di+Montalcino,Sangiovese,Biondi Santi,50,50,50,50
407,France,96,330.0,Burgundy,Charmes-Chambertin,,Roche+de+Bellene+++Charmes-Chambertin,Pinot Noir,Roche de Bellene,50,50,50,50
408,France,96,195.0,Bordeaux,Pauillac,,Château+Lynch-Bages+++Pauillac,Bordeaux-style Red Blend,Château Lynch-Bages,50,50,50,50
409,US,96,85.0,California,Russian River Valley,Sonoma,Williams+Selyem++Lewis+MacGregor+Estate+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
410,US,96,85.0,Oregon,Chehalem Mountains,Willamette Valley,Alloro++Estate+Justina+Pinot+Noir+Chehalem+Mountains,Pinot Noir,Alloro,50,50,50,50
411,US,96,40.0,California,San Luis Obispo County,Central Coast,Stolo++Estate+Syrah+San+Luis+Obispo+County,Syrah,Stolo,50,50,50,50
412,US,96,90.0,California,Paso Robles,Central Coast,Epoch+Estate+Wines++Block+B+Paderewski+Vineyard+Syrah+Paso+Robles,Syrah,Epoch Estate Wines,50,50,50,50
413,France,96,110.0,Bordeaux,Pauillac,,Château+Pontet-Canet+++Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet,50,50,50,50
414,France,96,175.0,Bordeaux,Saint-Émilion,,Le+Dôme+++Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,50,50,50,50
415,France,96,50.0,Bordeaux,Pessac-Léognan,,Château+Malartic-Lagravière+++Pessac-Léognan,Bordeaux-style White Blend,Château Malartic-Lagravière,50,50,50,50
416,France,96,200.0,Bordeaux,Saint-Julien,,Château+Léoville+Poyferré+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré,50,50,50,50
417,France,96,200.0,Bordeaux,Saint-Émilion,,Château+Valandraud+++Saint-Émilion,Bordeaux-style Red Blend,Château Valandraud,50,50,50,50
418,Spain,96,290.0,Catalonia,Priorat,,Terroir+Al+Límit++Les+Tosses+Carignan+Priorat,Carignan,Terroir Al Límit,50,50,50,50
419,US,96,55.0,Washington,Columbia Valley (WA),Columbia Valley,Corliss+Estates++Syrah+Columbia+Valley+WA,Syrah,Corliss Estates,50,50,50,50
420,Italy,96,175.0,Veneto,Amarone della Valpolicella Classico,,Masi++Mazzano++Amarone+della+Valpolicella+Classico,"Corvina, Rondinella, Molinara",Masi,50,50,50,50
421,France,96,62.0,Burgundy,Chablis,,Domaine+Jean-Paul+et+Benoît+Droin++Vaudésir+Grand+Cru++Chablis,Chardonnay,Domaine Jean-Paul et Benoît Droin,50,50,50,50
422,Italy,96,79.0,Piedmont,Barolo,,Attilio+Ghisolfi++Bussia+Bricco+Visette++Barolo,Nebbiolo,Attilio Ghisolfi,50,50,50,50
423,France,96,115.0,Burgundy,Chablis,,William+Fèvre++Les+Clos+Grand+Cru++Chablis,Chardonnay,William Fèvre,50,50,50,50
424,Italy,96,149.0,Piedmont,Barolo,,Rivetto++Briccolina++Barolo,Nebbiolo,Rivetto,50,50,50,50
425,France,96,62.0,Burgundy,Chablis,,Domaine+Jean-Paul+et+Benoît+Droin++Valmur+Grand+Cru++Chablis,Chardonnay,Domaine Jean-Paul et Benoît Droin,50,50,50,50
426,US,96,80.0,Washington,Horse Heaven Hills,Columbia Valley,Den+Hoed++Andreas+Cabernet+Sauvignon+Horse+Heaven+Hills,Cabernet Sauvignon,Den Hoed,50,50,50,50
427,France,96,304.0,Burgundy,Clos de la Roche,,Domaine+Dujac++Clos+de+la+Roche++Clos+de+la+Roche,Pinot Noir,Domaine Dujac,50,50,50,50
428,Portugal,96,220.0,Madeira,,,Blandy's++Verdelho+Madeira,Verdelho,Blandy's,50,50,50,50
429,Italy,96,131.0,Piedmont,Barolo,,Luigi+Oddero+&+Figli++Vigna+Rionda++Barolo,Nebbiolo,Luigi Oddero & Figli,50,50,50,50
430,France,96,370.0,Burgundy,Bâtard-Montrachet,,Louis+Jadot+++Bâtard-Montrachet,Chardonnay,Louis Jadot,50,50,50,50
431,France,96,510.0,Burgundy,Musigny,,Domaine+Jacques+Prieur++Musigny++Musigny,Pinot Noir,Domaine Jacques Prieur,50,50,50,50
432,Italy,96,80.0,Piedmont,Barolo,,Cordero+di+Montezemolo++Bricco+Gattera++Barolo,Nebbiolo,Cordero di Montezemolo,50,50,50,50
433,US,96,85.0,Washington,Red Mountain,Columbia Valley,Mark+Ryan++Lonely+Heart+Cabernet+Sauvignon+Red+Mountain,Cabernet Sauvignon,Mark Ryan,50,50,50,50
434,US,96,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Figgins++Estate+Red+Walla+Walla+Valley+WA,Bordeaux-style Red Blend,Figgins,50,50,50,50
435,US,96,55.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Terra+de+Promissio+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
436,US,96,45.0,California,Russian River Valley,Sonoma,De+Loach++Pennacchio+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,De Loach,50,50,50,50
437,US,96,135.0,California,Napa Valley,Napa,Venge++Family+Reserve+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Venge,50,50,50,50
438,Portugal,96,200.0,Port,,,Niepoort+NV++Years+Old+Tawny++Port,Port,Niepoort,50,50,50,50
439,US,96,95.0,California,Napa Valley,Napa,David+Arthur++Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,David Arthur,50,50,50,50
440,US,96,145.0,California,Rutherford,Napa,Rubicon+Estate++Rubicon+Red+Rutherford,Bordeaux-style Red Blend,Rubicon Estate,50,50,50,50
441,US,96,110.0,California,Napa Valley,Napa,Kendall-Jackson++Stature+Red+Napa+Valley,Bordeaux-style Red Blend,Kendall-Jackson,50,50,50,50
442,Italy,96,165.0,Piedmont,Barolo,,Sandrone++Cannubi+Boschis++Barolo,Nebbiolo,Sandrone,50,50,50,50
443,France,96,142.0,Burgundy,Chablis,,Domaine+Christian+Moreau+Père+et+Fils++Les+Clos+Grand+Cru+Cuvée+Clos+des+Hospices++Chablis,Chardonnay,Domaine Christian Moreau Père et Fils,50,50,50,50
444,US,96,135.0,Washington,Walla Walla Valley (WA),Columbia Valley,Leonetti+Cellar++Reserve+Red+Walla+Walla+Valley+WA,Bordeaux-style Red Blend,Leonetti Cellar,50,50,50,50
445,France,96,175.0,Rhône Valley,Côte Rôtie,,E.+Guigal++La+Mouline++Côte+Rôtie,Rhône-style Red Blend,E. Guigal,50,50,50,50
446,US,96,44.0,California,Sta. Rita Hills,Central Coast,Samsara++Las+Hermanas+Vineyard+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Samsara,50,50,50,50
447,US,96,44.0,Washington,Washington,Washington Other,Woodward+Canyon++Chardonnay+Washington,Chardonnay,Woodward Canyon,50,50,50,50
448,Italy,96,90.0,Northeastern Italy,Colli Orientali del Friuli,,Livio+Felluga++Picolit+Picolit+Colli+Orientali+del+Friuli,Picolit,Livio Felluga,50,50,50,50
449,France,96,260.0,Burgundy,Puligny-Montrachet,,Domaine+Leflaive++Les+Pucelles+Premier+Cru++Puligny-Montrachet,Chardonnay,Domaine Leflaive,50,50,50,50
450,France,96,,Burgundy,Chablis,,Domaine+Laroche++Les+Clos+Grand+Cru++Chablis,Chardonnay,Domaine Laroche,50,50,50,50
451,France,96,73.0,Burgundy,Chablis,,Domaine+Pinson++Les+Clos+Grand+Cru++Chablis,Chardonnay,Domaine Pinson,50,50,50,50
452,US,96,150.0,California,Napa Valley,Napa,Colgin++Herb+Lamb+Vineyard+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Colgin,50,50,50,50
453,US,96,100.0,California,Napa Valley,Napa,Stag's+Leap+Wine+Cellars++SLV+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Stag's Leap Wine Cellars,50,50,50,50
454,US,96,120.0,California,Napa Valley,Napa,Dalla+Valle++Maya+Red+Napa+Valley,Red Blend,Dalla Valle,50,50,50,50
455,Germany,96,95.0,Mosel,,,Dr.+Pauly+Bergweiler++Bernkasteler+Johannisbrünnchen+Eiswein+Riesling+Mosel,Riesling,Dr. Pauly Bergweiler,50,50,50,50
456,US,96,245.0,California,Napa Valley,Napa,Jarvis++Estate+Grown+Cave+Fermented+Reserve+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Jarvis,50,50,50,50
457,France,96,175.0,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases,50,50,50,50
458,Italy,96,80.0,Tuscany,Toscana,,Isole+e+Olena++Cepparello+Sangiovese+Toscana,Sangiovese,Isole e Olena,50,50,50,50
459,France,96,105.0,Bordeaux,Pauillac,,Château+Pontet-Canet+++Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet,50,50,50,50
460,France,96,685.0,Bordeaux,Pauillac,,Château+Lafite+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild,50,50,50,50
461,Italy,96,27.0,Tuscany,Chianti Classico,,Isole+e+Olena+++Chianti+Classico,Red Blend,Isole e Olena,50,50,50,50
462,Spain,96,130.0,Northern Spain,Ribera del Duero,,Emilio+Moro++Malleolus+de+Valderramiro++Ribera+del+Duero,Tinto Fino,Emilio Moro,50,50,50,50
463,US,96,45.0,Washington,Snipes Mountain,Columbia Valley,Maison+Bleue++Gravière+Upland+Vineyard+Mourvèdre-Syrah-Grenache+Red+Snipes+Mountain,Rhône-style Red Blend,Maison Bleue,50,50,50,50
464,US,96,450.0,California,Sonoma County,Sonoma,Verité++La+Joie+Red+Sonoma+County,Bordeaux-style Red Blend,Verité,50,50,50,50
465,US,96,50.0,California,Russian River Valley,Sonoma,Lynmar++Susanna's+Vineyard+Chardonnay+Russian+River+Valley,Chardonnay,Lynmar,50,50,50,50
466,US,96,85.0,California,Napa Valley,Napa,Pride+Mountain++Vintner+Select+Cuvée+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Pride Mountain,50,50,50,50
467,US,96,70.0,California,Mt. Harlan,Central Coast,Calera++Reed+Pinot+Noir+Mt.+Harlan,Pinot Noir,Calera,50,50,50,50
468,US,96,115.0,California,Fort Ross-Seaview,Sonoma,Wayfarer++Mother+Rock+Pinot+Noir+Fort+Ross-Seaview,Pinot Noir,Wayfarer,50,50,50,50
469,Italy,96,73.0,Tuscany,Brunello di Montalcino,,Mocali++Riserva++Brunello+di+Montalcino,Sangiovese Grosso,Mocali,50,50,50,50
470,US,96,60.0,California,Sta. Rita Hills,Central Coast,Siduri++Clos+Pepe+Vineyard+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Siduri,50,50,50,50
471,France,96,450.0,Burgundy,Chevalier-Montrachet,,Louis+Latour++Les+Demoiselles++Chevalier-Montrachet,Chardonnay,Louis Latour,50,50,50,50
472,France,96,132.0,Bordeaux,Pessac-Léognan,,Domaine+de+Chevalier+++Pessac-Léognan,Bordeaux-style White Blend,Domaine de Chevalier,50,50,50,50
473,Spain,96,50.0,Northern Spain,Ribera del Duero,,Valderiz++Juegabolos++Ribera+del+Duero,Tinta del Pais,Valderiz,50,50,50,50
474,US,96,65.0,California,Santa Lucia Highlands,Central Coast,Siduri++Pisoni+VIneyard+Pinot+Noir+Santa+Lucia+Highlands,Pinot Noir,Siduri,50,50,50,50
475,France,96,,Bordeaux,Saint-Julien,,Château+Ducru+Beaucaillou+++Saint-Julien,Bordeaux-style Red Blend,Château Ducru Beaucaillou,50,50,50,50
476,Australia,96,150.0,South Australia,McLaren Vale,,Hickinbotham++The+Peake+Cabernet-Shiraz+McLaren+Vale,Cabernet-Shiraz,Hickinbotham,50,50,50,50
477,France,96,155.0,Champagne,Champagne,,Bollinger++La+Grande+Année+Brut++Champagne,Champagne Blend,Bollinger,50,50,50,50
478,France,96,,Bordeaux,Saint-Estèphe,,Château+Montrose+++Saint-Estèphe,Bordeaux-style Red Blend,Château Montrose,50,50,50,50
479,Italy,96,50.0,Tuscany,Brunello di Montalcino,,Baricci+++Brunello+di+Montalcino,Sangiovese,Baricci,50,50,50,50
480,US,96,64.0,California,Santa Maria Valley,Central Coast,Foxen++Block++Bien+Nacido+Vineyard+Pinot+Noir+Santa+Maria+Valley,Pinot Noir,Foxen,50,50,50,50
481,Italy,96,85.0,Tuscany,Brunello di Montalcino,,Le+Potazzine+++Brunello+di+Montalcino,Sangiovese,Le Potazzine,50,50,50,50
482,US,96,150.0,California,Adelaida District,Central Coast,Daou++Soul+of+a+Lion+Cabernet+Sauvignon+Adelaida+District,Cabernet Sauvignon,Daou,50,50,50,50
483,US,96,155.0,California,Oakville,Napa,Nickel+&+Nickel++Martin+Stelling+Vineyard+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Nickel & Nickel,50,50,50,50
484,US,96,85.0,California,Sta. Rita Hills,Central Coast,Foxen++Sea+Smoke+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Foxen,50,50,50,50
485,US,96,45.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy++Lagniappe+Syrah+Columbia+Valley+WA,Syrah,Gramercy,50,50,50,50
486,US,96,150.0,California,Oakville,Napa,Vine+Cliff+++Rows+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Vine Cliff,50,50,50,50
487,France,96,475.0,Bordeaux,Pomerol,,Château+Trotanoy+++Pomerol,Bordeaux-style Red Blend,Château Trotanoy,50,50,50,50
488,France,96,525.0,Burgundy,Chambertin Clos de Bèze,,Domaine+Perrot-Minot++Chambertin+Clos+de+Bèze+Grand+Cru++Chambertin+Clos+de+Bèze,Pinot Noir,Domaine Perrot-Minot,50,50,50,50
489,US,96,175.0,California,Diamond Mountain District,Napa,Diamond+Creek++Gravelly+Meadow+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Diamond Creek,50,50,50,50
490,US,96,62.0,California,Santa Maria Valley,Central Coast,Foxen++Solomon+Hills+Vineyard+Pinot+Noir+Santa+Maria+Valley,Pinot Noir,Foxen,50,50,50,50
491,France,96,400.0,Burgundy,Bâtard-Montrachet,,Louis+Latour+++Bâtard-Montrachet,Chardonnay,Louis Latour,50,50,50,50
492,US,96,90.0,California,Russian River Valley,Sonoma,Donum++Single+Vineyard+Reserve+Pinot+Noir+Russian+River+Valley,Pinot Noir,Donum,50,50,50,50
493,France,96,,Burgundy,Chevalier-Montrachet,,Louis+Latour+++Chevalier-Montrachet,Chardonnay,Louis Latour,50,50,50,50
494,US,96,115.0,California,Fort Ross-Seaview,Sonoma,Wayfarer++Paige's+Ridge+Pinot+Noir+Fort+Ross-Seaview,Pinot Noir,Wayfarer,50,50,50,50
495,US,96,58.0,California,Russian River Valley,Sonoma,Williams+Selyem++Heintz+Vineyard+Chardonnay+Russian+River+Valley,Chardonnay,Williams Selyem,50,50,50,50
496,US,96,69.0,California,Russian River Valley,Sonoma,Williams+Selyem++Westside+Road+Neighbors+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
497,US,96,88.0,California,Mt. Harlan,Central Coast,Calera++Jensen+Pinot+Noir+Mt.+Harlan,Pinot Noir,Calera,50,50,50,50
498,Italy,96,146.0,Piedmont,Barolo,,Giuseppe+Rinaldi++Brunate++Barolo,Nebbiolo,Giuseppe Rinaldi,50,50,50,50
499,France,96,216.0,Champagne,Champagne,,Salon++Le+Mesnil+Blanc+de+Blancs+Brut+Chardonnay+Champagne,Chardonnay,Salon,50,50,50,50
500,France,96,,Burgundy,Corton-Charlemagne,,Bouchard+Père+&+Fils+++Corton-Charlemagne,Chardonnay,Bouchard Père & Fils,50,50,50,50
501,US,96,85.0,California,Oakville,Napa,Piña++Ames+Vineyard+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Piña,50,50,50,50
502,US,96,75.0,California,Sonoma Coast,Sonoma,Joseph+Phelps++Pastorale+Vineyard+Chardonnay+Sonoma+Coast,Chardonnay,Joseph Phelps,50,50,50,50
503,Spain,96,204.0,Northern Spain,Ribera del Duero,,Emilio+Moro++Malleolus+de+Sanchomartin++Ribera+del+Duero,Tinto del Pais,Emilio Moro,50,50,50,50
504,Australia,96,185.0,South Australia,South Australia,,Penfolds++Grange+Shiraz+South+Australia,Shiraz,Penfolds,50,50,50,50
505,US,96,70.0,California,Knights Valley,Sonoma,Kendall-Jackson++Highlands+Estates+Trace+Ridge+Cabernet+Sauvignon+Knights+Valley,Cabernet Sauvignon,Kendall-Jackson,50,50,50,50
506,France,96,,Bordeaux,Sauternes,,Château+Guiraud+++Sauternes,Bordeaux-style White Blend,Château Guiraud,50,50,50,50
507,US,96,72.0,Washington,Columbia Valley (WA),Columbia Valley,Sineann++Champoux+Vineyards+Block+One+Cabernet+Sauvignon+Columbia+Valley+WA,Cabernet Sauvignon,Sineann,50,50,50,50
508,Italy,96,110.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Santo+Stefano+di+Perno++Barolo,Nebbiolo,Mascarello Giuseppe e Figlio,50,50,50,50
509,US,96,125.0,California,Napa Valley,Napa,Montagna++La+Presa+One+South+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Montagna,50,50,50,50
510,US,96,80.0,California,Diamond Mountain District,Napa,Von+Strasser++Agira+Vineyard+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Von Strasser,50,50,50,50
511,US,96,335.0,California,Napa Valley,Napa,Bryant+Family++Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Bryant Family,50,50,50,50
512,US,96,95.0,California,Napa Valley,Napa,Duckhorn++Monitor+Ledge+Vineyard+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Duckhorn,50,50,50,50
513,France,96,,Burgundy,Montrachet,,Louis+Jadot+++Montrachet,Chardonnay,Louis Jadot,50,50,50,50
